	"deployment"	"retrieval"	"month_dep"	"month_ret"	"months"	"arms_code"	"site_code"	"id_site"	"protection"	"protection_level"	"depth"	"lat"	"lon"	"paper"	"ECOREGION"	"PROVINCE"	"REALM"	"Lat_Zone"	"chl_mean"	"k490_mean"	"npp_mean"	"npp_nsi"	"npp_total"	"par_mean"	"sss_mean"	"sss_range"	"sst_mean"	"sst_range"
"COI_5T"	2014	2017	"Nov"	"Nov"	36	"COI_5"	"Baie du Large 2017"	"site_28_2014_2017"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_7A"	2015	2016	"Nov"	"Nov"	12	"COI_7"	"Anse du Lion 2016"	"site_28_2015_2016"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_7B"	2015	2016	"Nov"	"Nov"	12	"COI_7"	"Anse du Lion 2016"	"site_28_2015_2016"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_7T"	2015	2016	"Nov"	"Nov"	12	"COI_7"	"Anse du Lion 2016"	"site_28_2015_2016"	"unprotected"	"absent"	20	-66.6609	140.0037	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_8A"	2014	2016	"Nov"	"Nov"	24	"COI_8"	"Baie du Large 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_8B"	2014	2016	"Nov"	"Nov"	24	"COI_8"	"Baie du Large 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_8T"	2014	2016	"Nov"	"Nov"	24	"COI_8"	"Baie du Large 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6574	140.0058	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_9A"	2014	2016	"Nov"	"Nov"	24	"COI_9"	"Passage du Lion 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6616	140.0105	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_9B"	2014	2016	"Nov"	"Nov"	24	"COI_9"	"Passage du Lion 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6616	140.0105	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
"COI_9T"	2014	2016	"Nov"	"Nov"	24	"COI_9"	"Passage du Lion 2016"	"site_28_2014_2016"	"unprotected"	"absent"	20	-66.6616	140.0105	"This paper; original unpublished data"	"East Antarctic Wilkes Land"	"Continental High Antarctic"	"Southern Ocean"	"Polar"	0.180964648723602	0.0650300607085228	170.711441040039	0.969333946704865	482.038177490234	42.669864654541	33.5764083862305	2.74264311790466	-0.247136801481247	1.02157390117645
